Crop,Nitrogen_N,Phosphorus_P,Potassium_K,pH,Rainfall_mm,Temperature_C,Humidity_percent,Land_Size_hectares,Scheme
Maize,65.1,47.5,18.6,5.7,70.9,21.7,57.5,2.98,State Subsidy A
Cotton,123.8,36.0,18.8,7.3,70.9,24.1,66.2,0.57,Paramparagat Krishi
Maize,75.8,57.8,23.6,6.4,69.8,26.5,65.8,2.62,State Subsidy A
Mothbeans,20.8,52.9,23.6,7.6,46.3,24.4,41.2,1.15,PM-Kisan
Papaya,47.4,56.2,53.3,6.5,204.3,36.6,90.4,1.47,Paramparagat Krishi
Kidneybeans,37.8,64.2,15.7,5.8,141.3,17.4,21.4,1.62,PM-Kisan
Mango,34.3,35.2,28.4,6.5,89.5,27.8,53.6,6.78,Paramparagat Krishi
Pomegranate,16.8,27.8,36.4,5.5,109.2,18.0,87.3,4.61,Paramparagat Krishi
Mungbean,34.8,41.2,20.0,6.9,51.7,28.7,87.5,5.93,Kisan Credit Card
Grapes,23.5,136.8,204.6,5.7,72.0,11.3,81.6,2.4,State Subsidy A
Mungbean,19.7,52.1,18.4,6.9,55.2,30.0,89.0,3.18,None
Maize,78.0,48.6,23.1,6.0,62.0,20.0,73.1,2.3,PM-Kisan
Cotton,109.5,40.1,24.8,6.5,76.6,22.9,59.3,4.41,PM-Kisan
Apple,33.9,135.5,200.1,6.3,114.9,23.4,90.8,1.33,PM-Kisan
Rice,83.0,53.8,44.1,6.7,207.3,23.5,87.1,5.81,State Subsidy A
Kidneybeans,37.6,62.9,23.9,5.7,98.0,24.9,24.9,3.07,Soil Health Card
Mothbeans,23.8,58.8,23.6,4.7,61.5,29.9,48.8,5.72,Kisan Credit Card
Maize,76.4,51.1,22.3,6.2,92.1,19.1,57.2,0.8,PM-Kisan
Watermelon,108.4,20.8,48.4,6.0,41.9,25.2,82.8,4.82,State Subsidy A
Lentil,35.6,65.6,23.4,6.1,52.1,24.1,66.3,3.97,Soil Health Card
Mothbeans,34.9,38.5,23.7,7.8,56.3,24.2,64.1,3.37,State Subsidy A
Watermelon,114.5,29.5,47.2,6.3,43.2,25.8,89.3,2.36,State Subsidy A
Coconut,36.5,27.7,32.7,6.0,186.3,26.9,97.4,2.51,Kisan Credit Card
Blackgram,35.3,71.9,22.1,7.0,64.8,28.3,67.2,1.13,Fasal Bima Yojana
Coconut,15.6,23.5,27.5,5.9,199.1,27.8,92.2,5.06,Paramparagat Krishi
Coconut,30.5,24.2,26.6,6.3,185.1,27.0,95.8,2.49,State Subsidy A
Muskmelon,117.5,23.9,51.8,6.4,28.7,28.4,91.6,0.21,PM-Kisan
Mungbean,27.9,59.4,24.6,6.7,54.3,27.7,87.0,3.47,State Subsidy A
Watermelon,112.8,28.5,54.8,6.4,59.9,24.5,82.6,6.21,Fasal Bima Yojana
Cotton,125.1,52.2,21.1,7.2,79.8,25.2,65.0,1.53,PM-Kisan
Pigeonpeas,15.7,65.8,17.3,6.4,98.7,24.3,47.1,1.5,Paramparagat Krishi
Muskmelon,85.6,15.6,48.2,6.1,27.7,28.0,88.7,3.86,None
Chickpea,33.4,55.5,83.9,6.4,78.2,18.8,17.2,1.37,PM-Kisan
Rice,80.7,40.2,36.4,6.8,192.7,22.1,92.6,5.53,Fasal Bima Yojana
Papaya,43.4,49.9,46.2,6.6,169.1,36.0,92.1,1.72,Paramparagat Krishi
Mothbeans,39.7,43.5,15.6,7.0,46.0,25.8,57.5,1.74,PM-Kisan
Grapes,15.8,139.1,202.2,5.5,74.7,18.9,78.8,1.02,State Subsidy A
Mothbeans,22.9,46.7,23.7,5.6,60.2,26.9,43.2,1.29,Kisan Credit Card
Apple,16.3,132.5,200.1,5.9,120.8,21.1,94.2,2.05,None
Pigeonpeas,28.2,74.5,21.8,7.0,94.1,25.3,51.1,6.65,Kisan Credit Card
Lentil,29.1,69.4,15.8,6.1,48.6,22.5,68.3,2.75,Paramparagat Krishi
Cotton,107.0,58.9,24.5,7.6,67.4,23.7,60.2,4.24,Fasal Bima Yojana
Grapes,15.8,122.8,200.6,5.7,67.3,23.9,78.1,3.86,Kisan Credit Card
Lentil,38.4,58.9,16.1,6.4,52.1,18.9,67.6,1.46,Paramparagat Krishi
Muskmelon,114.7,18.0,47.5,6.5,26.6,28.3,90.4,4.11,Kisan Credit Card
Papaya,40.8,68.7,45.4,6.8,221.3,38.7,93.8,3.77,None
Lentil,37.0,76.7,23.6,6.8,49.4,24.6,63.7,3.41,PM-Kisan
Pigeonpeas,32.0,57.8,20.4,5.2,97.2,23.5,54.9,2.05,PM-Kisan
Orange,25.1,21.5,13.9,7.0,117.7,19.5,92.4,0.83,PM-Kisan
Coffee,102.1,22.0,28.0,6.0,131.3,24.9,61.0,1.74,Kisan Credit Card
Kidneybeans,27.0,57.5,21.0,6.0,144.8,16.1,25.1,2.83,Paramparagat Krishi
Papaya,45.6,66.3,48.6,6.5,235.1,23.7,94.6,1.31,State Subsidy A
Maize,68.3,38.6,23.3,5.6,87.3,21.3,69.1,0.91,Paramparagat Krishi
Jute,65.8,57.5,45.0,6.6,175.1,24.5,75.4,1.65,PM-Kisan
Grapes,25.6,127.1,196.0,6.3,68.2,38.5,81.2,2.04,Fasal Bima Yojana
Mango,33.7,31.4,30.1,5.6,93.1,27.3,45.2,0.44,Kisan Credit Card
Orange,24.3,24.3,11.6,6.8,116.7,19.5,91.7,1.86,Paramparagat Krishi
Jute,84.9,50.1,35.6,7.4,177.3,25.3,80.1,1.5,PM-Kisan
Lentil,26.0,66.4,20.3,7.0,37.6,19.2,64.5,1.16,Paramparagat Krishi
Kidneybeans,24.3,69.2,21.5,5.9,115.5,24.8,24.9,4.29,Fasal Bima Yojana
Mothbeans,23.3,50.3,22.1,5.8,31.8,27.1,54.2,1.04,PM-Kisan
Blackgram,44.3,67.6,25.0,6.8,61.8,26.5,61.9,1.11,State Subsidy A
Chickpea,24.7,78.7,80.0,6.6,66.3,18.1,17.5,4.72,Fasal Bima Yojana
Maize,77.7,45.9,24.4,6.7,84.3,19.7,67.0,3.76,Soil Health Card
Muskmelon,108.7,24.0,50.9,6.4,24.3,28.0,92.4,2.11,Fasal Bima Yojana
Rice,74.4,55.4,42.6,6.5,190.7,24.5,89.3,3.63,State Subsidy A
Chickpea,52.9,55.4,76.4,6.4,67.6,20.6,18.6,5.17,State Subsidy A
Muskmelon,112.6,17.4,45.9,6.5,22.4,29.0,93.2,3.87,Soil Health Card
Pomegranate,34.2,16.2,35.9,6.2,118.2,24.4,85.7,2.22,Soil Health Card
Rice,60.6,49.5,43.3,7.0,297.6,25.0,83.5,2.8,Paramparagat Krishi
Kidneybeans,22.9,79.2,24.8,5.8,128.7,20.6,23.8,2.52,None
Rice,77.9,38.0,35.1,7.1,293.0,22.5,94.2,0.73,Kisan Credit Card
Lentil,36.9,76.3,20.2,6.5,48.0,18.8,62.0,2.18,State Subsidy A
Maize,94.5,36.2,23.4,6.6,78.2,24.1,71.8,2.94,Kisan Credit Card
Muskmelon,80.7,21.2,54.8,6.3,28.9,28.5,93.3,0.76,State Subsidy A
Muskmelon,104.1,16.6,53.9,6.7,20.8,29.1,90.7,3.31,Fasal Bima Yojana
Apple,32.4,140.3,200.7,5.8,122.2,22.7,91.7,0.8,PM-Kisan
Kidneybeans,20.5,73.3,17.7,5.9,145.6,24.2,21.9,4.91,State Subsidy A
Maize,77.6,59.1,20.3,7.0,71.4,20.6,70.2,2.65,Soil Health Card
Muskmelon,119.8,20.3,45.2,6.7,24.4,27.3,88.5,0.57,State Subsidy A
Papaya,38.9,47.4,46.7,6.7,143.4,42.9,94.5,3.43,None
Maize,83.6,35.5,24.6,5.8,91.9,19.8,55.2,2.51,None
Grapes,39.2,141.7,195.4,5.5,73.0,13.5,79.9,2.58,Fasal Bima Yojana
Papaya,36.7,59.7,51.9,6.6,143.7,34.2,90.8,1.76,Paramparagat Krishi
Coconut,20.9,23.7,32.0,6.2,153.8,26.0,91.6,2.65,Paramparagat Krishi
Chickpea,47.3,76.3,81.8,7.8,77.7,17.5,18.4,1.37,Soil Health Card
Banana,88.2,80.7,55.0,6.4,114.8,29.9,75.7,3.12,PM-Kisan
Mango,22.4,39.4,29.0,4.6,95.3,28.2,46.8,1.21,PM-Kisan
Apple,28.7,136.2,202.1,6.3,102.6,22.8,94.7,3.68,Fasal Bima Yojana
Rice,71.8,37.7,40.3,6.2,222.3,25.3,82.3,1.98,PM-Kisan
Rice,86.9,59.9,35.8,7.2,252.5,24.0,84.9,0.98,Paramparagat Krishi
Lentil,33.4,72.1,17.6,6.2,35.5,20.2,70.0,4.36,State Subsidy A
Lentil,21.1,72.0,21.9,6.9,35.6,19.7,64.3,2.87,PM-Kisan
Rice,72.8,55.7,42.2,6.1,218.5,26.5,84.6,4.79,Paramparagat Krishi
Kidneybeans,31.0,76.4,16.3,5.6,100.6,18.9,19.9,3.03,PM-Kisan
Banana,90.4,85.4,51.4,6.4,91.9,29.1,81.1,2.79,Kisan Credit Card
Mungbean,15.5,55.1,17.2,6.4,44.6,28.4,81.1,5.89,Paramparagat Krishi
Coffee,87.8,19.6,30.5,7.1,161.0,23.7,54.7,6.19,PM-Kisan
Maize,98.8,36.4,23.5,6.2,94.9,20.9,57.5,4.25,State Subsidy A
Banana,97.6,90.8,49.7,5.7,90.3,29.7,81.1,5.75,PM-Kisan
Pomegranate,24.6,20.6,38.1,7.0,109.1,22.2,93.5,3.71,Soil Health Card
Pomegranate,34.6,29.3,38.4,6.8,116.9,24.1,89.8,4.73,PM-Kisan
Chickpea,34.8,76.2,82.0,6.7,80.5,21.3,19.1,1.42,State Subsidy A
Jute,72.7,46.1,35.0,6.5,161.6,23.9,70.4,2.89,Fasal Bima Yojana
Apple,15.6,120.6,197.8,5.6,116.2,23.9,92.6,1.94,Kisan Credit Card
Chickpea,37.2,67.5,84.8,7.9,74.1,18.0,15.6,2.96,State Subsidy A
Banana,101.6,93.8,46.1,5.6,116.7,27.4,84.5,2.65,State Subsidy A
Papaya,56.5,63.7,50.2,6.8,148.5,34.4,91.6,2.1,Soil Health Card
Mothbeans,36.5,56.3,20.8,7.0,32.3,31.7,54.5,0.62,Fasal Bima Yojana
Cotton,119.1,49.4,17.4,6.1,67.1,23.7,63.1,2.7,Kisan Credit Card
Maize,78.5,38.8,20.1,6.8,98.6,20.4,65.7,2.57,State Subsidy A
Banana,103.9,91.4,49.6,6.0,108.1,26.4,81.4,1.38,State Subsidy A
Kidneybeans,38.6,75.0,22.4,5.8,100.6,22.8,21.7,2.74,Kisan Credit Card
Grapes,22.9,125.1,196.6,6.5,72.2,34.4,82.3,1.05,Kisan Credit Card
Papaya,50.0,45.8,47.6,6.7,195.8,24.5,92.3,1.55,PM-Kisan
Orange,16.3,27.7,11.3,6.8,116.1,20.9,90.4,1.55,Fasal Bima Yojana
Mothbeans,15.5,35.7,17.2,7.6,63.7,25.9,63.7,3.15,State Subsidy A
Chickpea,23.3,77.7,80.8,6.4,87.8,21.4,17.5,1.22,PM-Kisan
Chickpea,49.8,61.4,82.3,7.9,88.0,17.3,16.3,4.59,Soil Health Card
Banana,94.8,72.9,51.3,5.7,110.1,28.2,81.0,3.14,None
Watermelon,106.1,28.2,47.4,6.5,50.1,26.7,84.3,1.7,PM-Kisan
Watermelon,110.3,28.7,47.6,6.7,44.9,26.4,85.0,2.96,PM-Kisan
Coconut,23.5,24.8,30.4,5.7,137.7,28.6,92.0,1.68,State Subsidy A
Pigeonpeas,33.1,74.7,16.3,6.6,154.5,23.2,40.8,4.33,State Subsidy A
Muskmelon,101.7,28.1,49.8,6.5,20.5,29.5,93.4,3.14,Soil Health Card
Blackgram,59.9,65.9,19.1,7.3,67.0,28.7,68.9,2.42,Paramparagat Krishi
Pigeonpeas,33.5,61.0,21.3,6.2,143.6,27.7,55.0,2.59,State Subsidy A
Pomegranate,29.2,26.4,42.7,7.2,112.6,24.2,86.9,1.85,Soil Health Card
Mango,29.1,39.9,25.5,5.9,95.7,29.2,48.2,2.45,Soil Health Card
Pigeonpeas,18.9,66.0,22.7,5.4,149.0,24.9,52.6,1.48,Fasal Bima Yojana
Coconut,25.8,23.5,31.5,5.5,171.4,27.2,99.6,4.07,Soil Health Card
Pigeonpeas,20.8,66.7,16.3,6.0,153.3,22.4,45.2,2.45,State Subsidy A
Mango,15.8,37.9,32.5,4.7,94.6,30.2,52.3,3.52,Fasal Bima Yojana
Maize,70.3,47.3,21.0,5.6,80.3,23.7,64.6,2.71,Kisan Credit Card
Lentil,31.9,60.5,24.7,6.3,47.3,26.3,65.4,1.34,PM-Kisan
Pomegranate,33.5,16.2,37.8,6.8,108.4,21.8,93.0,1.54,Kisan Credit Card
Maize,88.6,38.3,24.0,6.4,71.4,26.7,70.3,0.78,Kisan Credit Card
Pigeonpeas,33.9,71.8,16.7,5.0,123.2,28.8,40.2,2.59,None
Maize,94.7,57.7,22.9,6.3,80.9,26.2,67.9,2.72,Kisan Credit Card
Kidneybeans,21.2,77.1,22.1,5.9,130.9,19.7,25.4,5.96,Paramparagat Krishi
Orange,20.3,18.8,13.6,6.6,115.7,32.2,94.9,2.93,Paramparagat Krishi
Coffee,102.4,15.7,33.4,7.0,112.0,24.4,52.9,2.52,Fasal Bima Yojana
Mango,21.0,17.4,28.3,6.6,98.6,34.7,51.6,0.73,PM-Kisan
Blackgram,40.8,73.3,20.8,7.2,69.0,27.9,64.7,2.2,None
Mungbean,21.8,50.9,15.1,7.2,57.0,27.9,82.9,0.46,PM-Kisan
Watermelon,101.3,19.9,48.5,6.7,57.4,26.4,88.6,5.56,None
Lentil,35.2,70.8,15.1,6.5,35.2,27.4,60.5,1.98,PM-Kisan
Apple,35.9,139.2,196.7,6.2,121.3,21.3,92.3,1.05,Soil Health Card
Banana,113.6,75.8,55.0,6.2,118.0,29.4,82.6,1.44,State Subsidy A
Grapes,19.5,125.6,198.9,6.3,74.8,17.0,78.5,3.1,None
Pomegranate,16.9,20.0,40.8,6.7,103.7,23.2,86.1,2.26,Kisan Credit Card
Lentil,22.7,78.8,18.0,7.4,36.2,21.8,64.6,2.56,Fasal Bima Yojana
Grapes,32.7,131.2,204.2,6.2,71.4,14.7,81.8,2.72,Paramparagat Krishi
Lentil,31.5,56.0,20.9,7.1,41.3,24.9,67.4,3.31,PM-Kisan
Muskmelon,105.8,19.7,53.4,6.5,29.3,28.6,90.2,1.75,State Subsidy A
Coffee,108.3,28.7,29.6,6.1,158.8,25.4,61.8,1.19,PM-Kisan
Jute,68.7,41.0,42.6,6.0,166.9,24.8,79.9,3.78,Fasal Bima Yojana
Mothbeans,39.2,50.0,15.9,5.0,50.5,26.1,63.3,2.33,State Subsidy A
Jute,64.9,35.5,44.6,6.3,161.5,25.3,71.4,5.28,PM-Kisan
Rice,71.6,50.7,44.6,7.3,208.5,23.3,81.7,3.72,Paramparagat Krishi
Grapes,25.3,128.0,202.8,5.7,72.0,27.6,79.4,2.17,Soil Health Card
Blackgram,45.9,65.5,16.3,6.7,60.4,26.2,66.2,2.48,State Subsidy A
Muskmelon,85.3,27.0,52.5,6.3,23.8,27.3,94.4,1.87,PM-Kisan
Coffee,89.7,26.8,32.6,6.6,145.2,24.2,58.0,1.31,PM-Kisan
Coconut,31.2,27.8,26.7,5.9,154.4,27.2,99.5,1.43,PM-Kisan
Cotton,106.8,44.7,20.1,7.9,67.1,25.5,51.7,3.73,Kisan Credit Card
Apple,23.9,133.2,200.5,6.3,103.2,22.7,91.5,6.8,Paramparagat Krishi
Kidneybeans,23.2,69.6,18.4,5.7,91.3,19.4,23.1,3.48,Soil Health Card
Cotton,129.6,52.5,19.6,7.1,68.9,25.4,62.6,2.16,State Subsidy A
Muskmelon,114.6,17.7,46.1,6.1,26.8,29.0,91.4,2.1,State Subsidy A
Kidneybeans,28.8,77.4,16.9,5.9,116.5,24.6,19.1,3.6,Paramparagat Krishi
Banana,83.0,77.3,51.6,6.1,117.6,27.0,81.1,1.56,PM-Kisan
Coffee,102.7,26.5,33.0,6.0,128.3,27.9,62.6,2.52,Fasal Bima Yojana
Mothbeans,33.2,38.2,21.0,7.0,39.7,28.8,49.4,5.81,Fasal Bima Yojana
Cotton,109.0,35.2,22.3,7.7,83.9,22.9,53.7,3.46,Fasal Bima Yojana
Maize,62.4,39.0,24.8,6.5,81.4,22.7,74.0,0.88,PM-Kisan
Papaya,55.7,58.9,46.1,6.7,238.0,33.8,91.0,4.2,None
Lentil,27.6,72.7,19.1,6.7,53.7,25.6,68.1,1.1,PM-Kisan
Chickpea,54.8,78.1,82.5,6.2,80.9,20.9,20.4,2.99,Paramparagat Krishi
Pomegranate,19.3,16.7,36.1,6.0,105.8,18.9,85.1,0.86,PM-Kisan
Cotton,122.1,53.5,16.4,7.8,88.4,25.8,58.6,2.41,Paramparagat Krishi
Papaya,37.2,45.1,51.3,6.9,145.6,35.9,93.0,2.41,PM-Kisan
Mothbeans,31.3,58.4,20.9,7.3,34.5,25.2,54.3,1.47,PM-Kisan
Blackgram,51.0,66.6,20.0,6.9,65.1,28.4,63.2,3.07,PM-Kisan
Mango,24.1,17.4,34.6,4.9,85.6,27.2,49.2,3.32,Paramparagat Krishi
Lentil,17.7,71.7,22.1,7.3,35.6,26.5,65.4,4.19,PM-Kisan
Grapes,15.5,126.2,196.3,6.3,71.1,20.3,78.4,4.42,None
Coffee,83.6,25.5,30.0,6.5,113.0,24.2,61.2,2.67,State Subsidy A
Blackgram,48.0,69.2,19.3,6.7,62.5,27.7,66.6,4.98,Paramparagat Krishi
Blackgram,42.4,57.5,18.1,7.0,60.3,25.7,64.2,0.37,PM-Kisan
Kidneybeans,25.8,62.0,15.1,5.6,122.0,17.3,26.8,2.45,Fasal Bima Yojana
Mungbean,36.0,57.9,22.5,6.7,43.5,29.3,87.5,2.54,PM-Kisan
Banana,87.1,71.4,50.3,6.3,98.6,26.1,77.2,4.56,None
Chickpea,54.4,63.5,80.5,6.8,64.9,20.4,15.8,3.12,Fasal Bima Yojana
Watermelon,100.2,24.3,52.5,6.8,50.1,25.0,89.9,2.34,None
Papaya,52.2,59.1,54.9,6.9,206.7,43.1,93.8,5.46,State Subsidy A
Coconut,18.6,15.4,29.5,5.6,226.7,26.6,91.2,4.86,None
Maize,99.5,47.2,22.5,6.1,98.0,20.3,70.8,1.19,State Subsidy A
Blackgram,41.6,61.8,19.9,7.2,61.3,26.6,62.3,3.33,Fasal Bima Yojana
Apple,35.6,139.0,197.5,5.7,118.4,21.3,93.2,3.2,Paramparagat Krishi
Pomegranate,26.8,15.4,43.8,6.3,116.4,18.1,90.2,3.74,Soil Health Card
Watermelon,101.7,16.9,50.8,6.2,58.1,26.2,86.6,0.63,PM-Kisan
Pomegranate,36.9,15.2,42.6,6.6,111.8,20.7,86.1,3.44,Kisan Credit Card
Maize,99.5,45.9,15.2,6.6,73.9,19.3,58.0,1.49,PM-Kisan
Lentil,29.8,74.6,16.9,7.1,44.6,24.6,62.6,0.7,Soil Health Card
Jute,85.9,47.8,39.5,6.7,165.7,24.7,88.3,6.43,Soil Health Card
Orange,28.4,17.7,7.7,7.3,101.4,25.0,92.5,3.99,Fasal Bima Yojana
Pomegranate,18.9,23.1,40.0,5.9,109.9,23.9,87.2,6.07,Paramparagat Krishi
Apple,23.9,123.1,200.2,6.1,102.0,21.4,94.4,2.0,Soil Health Card
Pomegranate,26.3,22.1,40.5,7.2,103.2,22.6,90.7,5.04,PM-Kisan
Coffee,114.0,17.8,34.6,6.7,165.2,25.8,55.7,3.94,Soil Health Card
Blackgram,51.9,70.4,18.6,7.4,66.7,27.3,64.5,4.42,PM-Kisan
Blackgram,58.9,64.9,16.6,6.6,61.1,26.0,68.8,2.86,Soil Health Card
Pigeonpeas,36.2,76.2,17.5,6.7,113.6,19.1,42.9,4.09,Soil Health Card
Mango,25.3,26.7,32.7,5.9,85.5,29.0,50.6,1.5,Fasal Bima Yojana
Orange,27.0,17.0,5.5,6.3,118.1,18.8,91.7,4.79,State Subsidy A
Rice,80.3,54.8,35.5,6.1,189.6,27.0,83.6,2.49,Soil Health Card
Coffee,97.6,19.0,30.4,6.4,152.2,28.0,58.1,5.72,Soil Health Card
Muskmelon,100.3,29.3,51.1,6.4,26.3,28.2,93.7,2.64,None
Cotton,103.7,36.8,23.2,7.7,60.8,23.3,54.1,2.49,State Subsidy A
Cotton,136.6,40.5,20.5,7.2,70.2,25.5,51.3,3.08,Fasal Bima Yojana
Lentil,36.0,75.1,23.3,7.4,35.1,20.7,69.2,3.73,Kisan Credit Card
Blackgram,43.1,67.5,17.3,7.0,63.5,25.7,63.8,2.17,State Subsidy A
Lentil,25.0,58.0,15.1,7.5,38.5,23.8,68.2,4.71,Fasal Bima Yojana
Mango,28.4,35.3,30.5,5.2,88.9,31.6,51.3,1.8,PM-Kisan
Coconut,29.3,15.7,28.4,5.6,193.9,26.0,92.8,1.32,Soil Health Card
Rice,63.4,35.6,37.3,6.2,186.1,24.8,93.6,4.03,Fasal Bima Yojana
Kidneybeans,20.4,77.7,21.2,5.8,122.4,24.5,24.0,2.92,Fasal Bima Yojana
Pomegranate,28.3,25.1,36.0,7.1,116.2,19.5,89.7,2.93,State Subsidy A
Rice,66.0,52.6,43.6,6.4,295.2,22.4,88.7,1.92,Soil Health Card
Rice,81.7,48.1,38.2,7.5,291.4,21.1,94.7,5.14,None
Watermelon,82.1,22.5,51.5,6.5,59.4,24.4,89.7,7.27,State Subsidy A
Cotton,122.7,35.1,16.9,7.2,65.6,25.9,64.5,1.01,PM-Kisan
Mungbean,26.3,55.1,15.8,6.5,54.9,28.4,88.7,1.09,PM-Kisan
Cotton,125.6,43.3,24.3,6.7,81.7,24.5,57.3,1.87,Fasal Bima Yojana
Mungbean,33.1,50.9,17.5,6.6,56.6,29.2,82.9,1.15,Soil Health Card
Lentil,20.2,61.5,16.3,6.8,44.2,20.7,63.7,3.5,Kisan Credit Card
Pomegranate,22.6,25.0,36.9,6.7,110.9,19.9,88.9,0.49,PM-Kisan
Mungbean,35.7,39.6,19.1,6.8,56.2,27.9,84.6,3.78,Soil Health Card
Watermelon,111.7,28.2,54.2,6.7,49.0,25.0,82.8,2.66,PM-Kisan
Rice,64.7,44.7,37.2,6.9,230.5,20.2,89.9,0.63,PM-Kisan
Mothbeans,28.6,42.4,22.0,5.2,68.8,31.6,56.7,1.46,Fasal Bima Yojana
Coffee,90.6,29.2,27.1,6.0,120.9,23.3,54.7,4.19,Paramparagat Krishi
Grapes,22.4,130.8,200.2,5.8,66.2,28.8,79.6,3.98,Paramparagat Krishi
Maize,62.3,44.2,20.8,5.8,70.4,25.7,63.2,3.61,Fasal Bima Yojana
Chickpea,21.8,61.6,81.1,7.3,87.2,20.5,17.9,2.13,Paramparagat Krishi
Cotton,108.7,44.0,17.7,7.2,72.7,22.5,66.2,3.69,Fasal Bima Yojana
Mango,31.7,37.9,32.9,5.8,94.0,30.5,54.9,3.39,Soil Health Card
Coconut,16.2,24.3,28.0,5.7,169.2,26.6,98.5,1.62,Paramparagat Krishi
Mothbeans,17.9,47.1,16.4,8.4,33.0,27.7,44.1,3.47,Paramparagat Krishi
Papaya,47.8,68.4,49.4,6.5,241.1,31.7,90.1,1.09,Kisan Credit Card
Banana,116.7,86.8,50.3,6.1,111.3,27.1,85.0,0.97,Paramparagat Krishi
Jute,68.9,42.9,43.0,7.5,184.4,25.2,79.6,2.53,State Subsidy A
Pomegranate,29.5,25.3,44.8,6.6,106.9,18.2,90.0,6.18,Kisan Credit Card
Grapes,24.6,144.4,201.8,6.0,67.3,33.1,81.9,0.99,PM-Kisan
Grapes,39.1,122.5,203.1,5.7,73.0,37.5,78.2,2.62,Soil Health Card
Chickpea,42.0,70.3,77.3,6.6,71.5,17.8,16.5,0.15,Kisan Credit Card
Jute,72.0,58.9,35.6,6.2,183.7,25.3,87.6,3.09,Fasal Bima Yojana
Blackgram,44.8,75.5,22.0,7.0,66.8,27.2,62.6,2.02,Kisan Credit Card
Pomegranate,22.2,26.8,44.1,6.7,108.5,19.7,91.6,5.05,Paramparagat Krishi
Apple,34.0,141.3,204.4,6.2,106.0,23.4,90.4,6.52,None
Mango,19.6,21.4,26.4,5.9,91.2,28.3,47.5,3.71,Paramparagat Krishi
Coffee,86.3,25.5,31.3,6.5,123.5,25.7,60.1,1.96,PM-Kisan
Lentil,18.9,71.6,19.6,7.1,44.5,27.9,64.9,2.79,Kisan Credit Card
Pigeonpeas,29.2,79.5,17.4,7.0,101.7,18.2,40.2,0.24,Fasal Bima Yojana
Chickpea,23.0,58.4,83.8,7.4,67.1,20.9,18.1,0.69,Fasal Bima Yojana
Pomegranate,39.0,21.4,35.4,6.4,115.3,18.3,93.8,1.72,Fasal Bima Yojana
Kidneybeans,30.9,58.4,21.4,5.8,121.5,20.0,23.6,1.73,Kisan Credit Card
Mothbeans,17.0,59.4,19.6,5.7,31.1,29.8,49.9,1.35,PM-Kisan
Jute,82.5,40.1,40.0,6.9,151.5,23.9,80.0,1.2,Soil Health Card
Papaya,37.6,63.9,48.2,6.5,139.9,35.3,90.5,1.64,Fasal Bima Yojana
Mungbean,36.1,56.3,20.0,7.2,40.9,29.0,81.6,3.5,Paramparagat Krishi
Lentil,15.6,55.5,21.0,6.2,41.8,28.4,69.0,6.12,State Subsidy A
Mango,17.7,22.3,32.8,5.1,97.4,33.4,53.9,1.01,Kisan Credit Card
Maize,96.1,48.0,21.1,6.3,97.0,23.9,66.9,5.57,Soil Health Card
Mango,18.9,27.7,28.6,5.5,91.9,33.3,50.0,5.79,Paramparagat Krishi
Coffee,94.1,19.5,32.2,6.5,192.7,26.3,52.3,1.9,PM-Kisan
Chickpea,49.9,71.6,80.4,6.6,89.8,19.1,19.8,3.55,Kisan Credit Card
Orange,39.5,18.8,5.6,7.1,108.8,14.3,92.6,0.75,PM-Kisan
Mango,25.3,21.6,27.3,4.9,90.1,30.2,48.4,2.66,Paramparagat Krishi
Kidneybeans,37.9,71.1,21.7,5.8,130.3,19.8,18.8,2.27,Kisan Credit Card
Banana,116.3,79.9,46.5,5.9,110.3,28.5,78.1,4.32,Kisan Credit Card
Coffee,109.4,18.2,32.6,6.4,195.1,26.9,52.2,3.84,Kisan Credit Card
Jute,71.0,55.2,39.4,7.5,158.0,25.5,74.1,2.23,Paramparagat Krishi
Mango,35.7,16.7,27.8,5.7,97.3,31.4,45.7,3.65,Kisan Credit Card
Mothbeans,24.9,43.3,19.8,6.3,43.3,29.6,40.2,2.35,State Subsidy A
Maize,82.6,46.6,15.9,5.6,76.0,19.1,59.9,4.72,Paramparagat Krishi
Pomegranate,23.7,16.4,36.6,6.0,112.6,18.7,91.7,3.72,Kisan Credit Card
Mungbean,38.3,37.2,24.2,6.7,48.1,30.0,82.1,2.78,PM-Kisan
Coffee,94.9,21.2,32.2,6.6,193.0,24.9,56.9,1.09,Kisan Credit Card
Pigeonpeas,39.4,74.7,19.0,5.0,114.6,19.7,47.6,2.88,Paramparagat Krishi
Mungbean,34.1,51.7,16.5,6.8,57.1,28.1,81.1,0.34,PM-Kisan
Apple,32.8,126.7,200.2,5.8,106.8,22.1,93.5,2.35,State Subsidy A
Blackgram,53.6,59.8,19.3,6.5,65.5,29.6,65.6,3.81,None
Lentil,18.5,69.9,22.7,7.5,54.8,28.7,60.1,3.58,Kisan Credit Card
Rice,88.8,48.5,39.4,7.2,296.8,24.2,84.1,2.55,PM-Kisan
Pomegranate,30.7,24.3,41.8,6.2,103.5,20.6,87.8,4.42,None
Lentil,26.6,62.0,15.8,6.9,51.4,23.9,67.3,3.43,PM-Kisan
Grapes,22.6,143.3,201.6,6.4,67.2,14.5,82.4,0.61,PM-Kisan
Papaya,53.3,61.5,48.8,6.9,150.8,43.6,93.5,4.49,Soil Health Card
Lentil,17.7,67.9,22.1,6.7,52.4,27.1,67.6,2.73,None
