Crop,Nitrogen_N,Phosphorus_P,Potassium_K,pH,Rainfall_mm,Temperature_C,Humidity_percent,Land_Size_hectares,Scheme
Pulses,130,66,66,4.62,2440,15.4,43.86,9.16,Soil Health Card Scheme
Spices,52,30,67,5.83,1761,35.13,81.15,9.36,PM Fasal Bima Yojana
Maize,93,79,27,4.77,889,25.69,50.31,8.1,Paramparagat Krishi Vikas Yojana
Rice,73,51,28,4.64,844,36.84,71.9,8.42,PM Fasal Bima Yojana
Wheat,126,51,98,4.76,462,22.31,62.2,0.71,PM-KISAN
Pulses,80,68,87,5.34,1222,32.82,40.57,4.38,Soil Health Card Scheme
Jute,131,43,24,7.65,2468,33.67,76.03,8.35,PM Fasal Bima Yojana
Cotton,88,15,87,8.2,1145,28.39,57.84,3.86,Soil Health Card Scheme
Fruits,128,69,65,8.16,1971,30.81,58.68,3.08,PM Fasal Bima Yojana
Fruits,25,49,58,5.28,486,35.95,82.94,7.61,PM Fasal Bima Yojana
Sugarcane,92,43,56,6.14,894,27.23,61.48,7.54,Paramparagat Krishi Vikas Yojana
Jute,25,32,41,6.67,1120,25.36,76.62,8.88,Soil Health Card Scheme
Maize,55,48,92,5.35,546,23.39,77.47,5.93,PM Fasal Bima Yojana
Fruits,66,47,81,7.99,2359,32.55,48.58,5.25,PM Fasal Bima Yojana
Sugarcane,20,48,67,8.28,1856,27.39,86.66,4.67,Soil Health Card Scheme
Rice,90,27,88,7.56,1430,34.32,87.57,7.88,Soil Health Card Scheme
Fruits,22,43,51,7.36,1567,15.25,76.17,5.59,PM Fasal Bima Yojana
Fruits,105,55,70,5.64,1622,26.28,49.17,8.62,Paramparagat Krishi Vikas Yojana
Maize,30,67,65,6.05,1655,15.39,54.04,2.48,Soil Health Card Scheme
Fruits,123,50,98,4.77,1084,26.26,65.67,9.9,Paramparagat Krishi Vikas Yojana
Spices,112,17,73,7.42,439,16.72,58.48,4.91,PM Fasal Bima Yojana
Spices,114,44,21,7.15,1070,35.11,78.64,5.71,Soil Health Card Scheme
Spices,77,59,81,7.71,1634,30.51,77.11,2.11,PM-KISAN
Sugarcane,48,72,36,5.53,1390,29.93,72.71,8.95,Soil Health Card Scheme
Sugarcane,81,56,95,6.4,453,24.66,69.43,2.26,PM Fasal Bima Yojana
Wheat,113,24,63,7.48,1759,16.92,74.81,4.14,PM Fasal Bima Yojana
Wheat,81,76,57,6.63,594,38.48,71.82,3.58,PM-KISAN
Spices,129,27,46,6.88,2009,31.55,80.75,7.89,PM Fasal Bima Yojana
Sugarcane,107,47,47,5.37,1493,25.38,84.42,8.33,Soil Health Card Scheme
Wheat,67,20,75,5.3,854,39.9,81.27,8.53,Soil Health Card Scheme
Sugarcane,67,41,39,8.11,1356,33.7,80.33,8.65,Soil Health Card Scheme
Maize,114,29,35,6.14,2304,39.03,84.59,8.57,PM Fasal Bima Yojana
Jute,54,52,50,7.56,513,32.65,55.45,1.76,PM-KISAN
Spices,118,17,99,6.16,738,29.52,89.53,7.69,Soil Health Card Scheme
Spices,80,57,44,5.42,2343,24.48,58.57,6.38,PM Fasal Bima Yojana
Jute,70,35,31,6.48,2181,35.11,75.76,6.14,PM Fasal Bima Yojana
Wheat,46,69,73,5.99,1498,19.18,65.02,7.06,Soil Health Card Scheme
Fruits,73,36,84,7.04,2078,20.1,42.12,6.01,PM Fasal Bima Yojana
Wheat,39,64,52,6.94,1466,26.34,62.74,7.01,Soil Health Card Scheme
Vegetables,109,27,96,6.84,1344,21.93,86.07,6.04,Soil Health Card Scheme
Vegetables,62,36,39,4.63,695,20.77,85.78,6.35,PM Krishi Sinchai Yojana
Pulses,99,59,78,8.04,1343,24.39,80.0,8.9,PM-KISAN
Jute,125,71,27,8.26,1284,16.56,56.76,1.14,PM-KISAN
Rice,36,78,61,8.25,2338,28.8,79.47,4.45,Soil Health Card Scheme
Wheat,121,24,51,5.17,2440,39.19,61.99,3.14,PM Fasal Bima Yojana
Vegetables,112,70,79,7.81,1036,22.56,88.77,2.12,Paramparagat Krishi Vikas Yojana
Wheat,83,52,41,6.44,410,29.09,80.19,1.8,PM-KISAN
Vegetables,129,38,63,5.59,1869,36.89,62.09,9.85,PM Krishi Sinchai Yojana
Jute,75,23,41,7.4,1087,28.68,89.59,6.81,PM-KISAN
Pulses,58,27,51,8.06,1505,26.77,72.8,5.82,Soil Health Card Scheme
Pulses,118,62,37,4.99,2230,26.35,78.12,1.7,PM Fasal Bima Yojana
Jute,25,74,33,7.08,2443,28.82,58.61,6.79,Soil Health Card Scheme
Jute,113,42,22,5.23,1119,22.14,86.36,9.71,Soil Health Card Scheme
Fruits,25,46,29,5.97,1098,23.44,76.47,5.95,Paramparagat Krishi Vikas Yojana
Fruits,50,36,23,4.5,675,24.41,51.6,3.02,Soil Health Card Scheme
Rice,43,72,91,8.18,508,38.62,70.5,9.28,PM Fasal Bima Yojana
Pulses,120,42,80,5.12,1121,27.82,75.2,9.38,PM Krishi Sinchai Yojana
Wheat,32,57,40,4.68,1890,30.38,85.53,5.34,Soil Health Card Scheme
Pulses,71,44,52,7.91,2117,39.91,79.8,7.66,PM Fasal Bima Yojana
Rice,128,71,27,5.62,1691,24.49,80.07,4.22,Soil Health Card Scheme
Rice,116,46,59,8.22,789,24.15,55.9,7.62,Soil Health Card Scheme
Vegetables,124,63,30,5.67,1873,31.7,86.66,3.02,Soil Health Card Scheme
Maize,75,42,85,6.98,692,37.12,76.95,3.14,Paramparagat Krishi Vikas Yojana
Cotton,77,46,79,8.46,1609,21.95,47.11,3.48,Soil Health Card Scheme
Spices,101,62,59,6.66,1367,38.47,62.64,2.39,PM-KISAN
Vegetables,95,45,33,6.3,2002,21.17,63.55,6.79,PM Fasal Bima Yojana
Vegetables,29,38,24,4.96,670,26.56,83.25,2.87,Soil Health Card Scheme
Pulses,114,64,31,8.14,486,22.47,45.35,4.68,PM Fasal Bima Yojana
Maize,40,63,81,6.44,1283,22.2,64.64,3.35,Soil Health Card Scheme
Fruits,40,19,89,8.11,1726,15.38,69.07,1.51,PM-KISAN
Vegetables,42,78,86,6.14,744,38.57,44.14,2.91,PM Fasal Bima Yojana
Spices,128,67,74,5.95,842,39.51,50.73,1.14,PM-KISAN
Rice,123,74,70,7.13,2411,20.58,83.66,8.0,PM Fasal Bima Yojana
Sugarcane,111,72,75,5.89,1670,17.89,41.36,5.47,Paramparagat Krishi Vikas Yojana
Rice,84,77,73,8.09,1758,35.52,63.87,3.83,Soil Health Card Scheme
Rice,137,27,36,7.84,895,27.05,82.05,2.6,PM Fasal Bima Yojana
Sugarcane,46,27,50,5.71,1483,17.97,86.69,7.0,PM Fasal Bima Yojana
Spices,66,19,39,5.5,1871,30.48,56.61,9.32,Soil Health Card Scheme
Pulses,63,29,38,7.59,1403,32.33,72.41,2.7,Soil Health Card Scheme
Spices,67,58,43,6.95,544,37.48,88.11,4.72,PM Fasal Bima Yojana
Sugarcane,77,28,56,4.78,2174,22.2,67.82,0.78,PM-KISAN
Cotton,64,42,85,6.73,1157,22.94,88.43,2.99,PM Fasal Bima Yojana
Wheat,27,71,99,6.11,1881,22.87,42.15,7.92,PM Fasal Bima Yojana
Pulses,88,20,75,7.88,2453,21.28,82.21,5.1,PM Fasal Bima Yojana
Jute,93,20,82,5.59,1210,39.46,88.29,4.25,PM Fasal Bima Yojana
Jute,51,49,41,5.03,2303,30.48,62.72,7.91,PM Fasal Bima Yojana
Pulses,33,32,92,5.22,1506,37.18,60.99,5.22,PM Fasal Bima Yojana
Fruits,47,39,93,8.09,1416,32.26,57.03,8.15,PM-KISAN
Wheat,29,25,40,8.29,1871,22.0,53.89,0.84,PM-KISAN
Rice,134,32,78,6.83,1352,34.68,55.32,0.88,PM-KISAN
Cotton,122,16,78,6.64,990,21.79,85.21,4.06,Soil Health Card Scheme
Vegetables,31,27,62,7.72,652,22.94,52.97,1.33,Soil Health Card Scheme
Jute,49,37,35,5.83,1494,16.28,64.63,4.7,PM Fasal Bima Yojana
Cotton,38,35,83,5.69,684,18.73,53.41,3.93,Soil Health Card Scheme
Wheat,88,68,49,6.07,870,35.07,52.33,9.77,PM Fasal Bima Yojana
Cotton,92,33,57,5.46,547,31.83,81.22,4.27,Soil Health Card Scheme
Jute,41,72,87,5.58,2225,15.75,62.23,5.29,PM-KISAN
Maize,76,75,50,5.66,1604,34.2,61.72,4.74,Soil Health Card Scheme
Vegetables,36,30,35,5.31,644,25.74,53.95,1.73,Soil Health Card Scheme
Wheat,31,79,66,5.34,1809,30.06,65.58,1.08,Paramparagat Krishi Vikas Yojana
Maize,31,41,73,6.91,1055,15.14,40.07,4.09,PM Fasal Bima Yojana
Spices,59,56,66,4.74,1660,30.15,82.47,0.93,PM-KISAN
Wheat,51,26,59,5.01,2281,15.34,44.08,2.96,Soil Health Card Scheme
Rice,70,50,43,6.47,1809,31.6,88.27,0.98,PM-KISAN
Cotton,122,38,40,4.78,2292,30.02,57.05,9.21,PM Fasal Bima Yojana
Vegetables,89,50,64,5.67,1779,30.14,55.39,8.46,Soil Health Card Scheme
Sugarcane,86,37,35,5.37,2178,29.84,40.81,7.42,Soil Health Card Scheme
Pulses,65,46,34,4.88,1080,26.52,64.95,3.52,Soil Health Card Scheme
Pulses,123,57,50,5.79,875,21.36,40.64,5.63,Paramparagat Krishi Vikas Yojana
Cotton,54,19,92,6.71,1934,28.72,59.0,6.27,PM-KISAN
Pulses,20,58,94,7.82,965,26.1,66.59,8.8,Soil Health Card Scheme
Maize,84,72,72,5.72,2272,27.23,82.98,6.13,PM Fasal Bima Yojana
Rice,22,74,54,7.17,2044,21.42,80.2,4.55,PM Fasal Bima Yojana
Fruits,105,66,72,7.69,1466,19.91,46.28,9.65,PM-KISAN
Spices,42,57,96,6.67,1443,31.3,81.62,9.77,PM Fasal Bima Yojana
Pulses,97,25,45,5.68,826,21.79,59.96,6.19,Soil Health Card Scheme
Rice,118,73,71,7.42,775,16.87,85.39,9.97,PM Fasal Bima Yojana
Sugarcane,129,26,62,8.27,1844,15.52,55.79,1.04,PM-KISAN
Sugarcane,73,71,23,6.08,2454,26.35,60.61,9.38,Soil Health Card Scheme
Fruits,45,39,73,6.37,1197,27.48,45.32,1.58,PM-KISAN
Vegetables,108,65,66,6.97,643,24.92,62.77,4.44,PM Krishi Sinchai Yojana
Rice,101,55,93,6.41,790,28.13,45.56,8.75,PM-KISAN
Wheat,23,31,23,5.34,1129,20.37,42.1,3.95,PM-KISAN
Vegetables,102,50,69,6.62,2234,29.15,85.4,4.26,PM-KISAN
Cotton,56,31,58,8.26,1701,26.92,71.5,8.37,Soil Health Card Scheme
Jute,90,15,77,8.45,1513,19.43,76.1,0.88,PM-KISAN
Jute,37,44,61,6.43,1947,38.76,41.1,9.83,Soil Health Card Scheme
Rice,126,76,34,6.94,1910,24.52,42.73,6.19,Paramparagat Krishi Vikas Yojana
Sugarcane,56,72,52,7.84,979,19.99,53.22,5.28,PM-KISAN
Wheat,63,20,61,7.64,1990,21.18,83.31,2.06,Soil Health Card Scheme
Maize,138,63,28,4.58,1977,22.08,81.86,5.66,Soil Health Card Scheme
Maize,102,24,48,6.05,1819,24.94,65.59,5.09,PM Krishi Sinchai Yojana
Cotton,66,18,70,4.75,956,28.83,66.02,9.95,PM Fasal Bima Yojana
Jute,90,29,90,4.68,2213,28.53,72.28,0.93,PM-KISAN
Vegetables,75,64,31,8.44,2123,18.08,65.93,2.84,Soil Health Card Scheme
Jute,62,39,37,8.21,2269,22.15,73.62,2.11,PM Krishi Sinchai Yojana
Fruits,123,60,86,8.37,1941,33.22,55.77,4.23,PM-KISAN
Sugarcane,101,59,66,8.19,894,25.93,71.39,6.65,Soil Health Card Scheme
Pulses,72,40,33,7.82,1851,27.25,71.54,7.53,Soil Health Card Scheme
Vegetables,137,33,95,7.42,2283,33.29,58.61,5.46,PM-KISAN
Jute,45,54,99,7.2,1766,29.21,42.96,6.51,PM Krishi Sinchai Yojana
Vegetables,127,69,45,8.13,2344,25.23,57.72,3.38,PM Fasal Bima Yojana
Pulses,115,44,96,6.88,2278,21.1,72.8,2.39,PM-KISAN
Vegetables,134,61,59,5.52,1558,34.51,68.19,2.98,Soil Health Card Scheme
Fruits,50,35,59,6.94,2012,26.01,55.87,9.16,Soil Health Card Scheme
Wheat,44,72,60,6.48,1301,15.6,69.24,9.44,PM Fasal Bima Yojana
Vegetables,38,32,83,6.7,2172,21.34,72.1,3.12,PM Fasal Bima Yojana
Wheat,108,30,38,7.73,927,22.39,52.79,3.61,PM-KISAN
Vegetables,74,32,53,6.24,444,29.7,61.32,6.35,PM-KISAN
Fruits,135,32,79,4.56,780,35.3,40.69,6.67,PM Fasal Bima Yojana
Fruits,45,18,35,5.83,2312,37.15,62.93,5.86,PM Fasal Bima Yojana
Wheat,112,27,23,8.49,1518,18.32,71.92,3.54,PM-KISAN
Maize,120,56,32,5.34,1052,31.87,51.95,7.7,Soil Health Card Scheme
Wheat,137,70,79,5.34,2231,35.09,44.19,4.17,Soil Health Card Scheme
Fruits,50,64,39,6.07,608,19.56,88.26,4.57,Soil Health Card Scheme
Pulses,89,72,94,7.08,1615,30.9,59.91,0.56,PM-KISAN
Vegetables,124,29,74,7.56,1890,38.91,58.83,3.72,PM Fasal Bima Yojana
Vegetables,70,56,36,5.71,1372,36.78,79.25,3.1,PM Fasal Bima Yojana
Wheat,106,20,48,5.81,1862,27.51,72.29,5.35,PM Fasal Bima Yojana
Maize,94,52,80,5.05,1087,23.22,73.12,7.64,Soil Health Card Scheme
Cotton,131,73,90,5.03,590,17.05,72.34,6.44,PM Fasal Bima Yojana
Vegetables,26,41,20,6.4,1366,24.58,48.41,8.45,Soil Health Card Scheme
Wheat,82,51,78,6.92,1812,39.53,86.62,9.37,PM Fasal Bima Yojana
Rice,43,37,69,5.73,1758,16.77,57.49,8.69,Soil Health Card Scheme
Fruits,117,75,51,8.48,2307,28.61,88.79,4.01,Soil Health Card Scheme
Sugarcane,90,45,83,6.53,949,16.58,59.84,5.0,PM Fasal Bima Yojana
Fruits,75,75,41,5.28,1338,26.45,52.83,7.65,Soil Health Card Scheme
Wheat,113,20,88,5.54,1951,24.41,68.54,5.05,Soil Health Card Scheme
Wheat,28,78,41,7.79,556,18.01,43.38,7.38,PM Fasal Bima Yojana
Rice,20,18,23,5.47,2106,33.6,75.55,2.73,PM Fasal Bima Yojana
